Provider_ID,Quarter,Staff_to_Patient_Ratio,RN_Hours_per_Patient_Day,Agency_Staff_Percent,Readmission_Cost_per_Case
50588,2025-01-01,5.3,10.68,10.49,12369.58
50588,2025-04-01,5.3,11.28,10.63,12220.01
50588,2025-07-01,5.58,10.31,9.99,12545.66
110089,2024-01-01,3.89,7.35,14.2,17849.2
110089,2024-04-01,3.73,7.54,12.27,17548.61
110089,2024-07-01,3.89,7.58,13.47,18746.56
110089,2024-10-01,4.27,8.43,15.55,19003.28
110089,2025-01-01,3.62,8.6,12.52,17570.01
110089,2025-04-01,3.83,7.35,11.76,17568.32
110089,2025-07-01,4.18,8.12,13.47,18085.6
60100,2024-01-01,3.61,10.26,14.4,18183.74
60100,2024-04-01,3.64,10.87,13.93,18144.68
60100,2024-07-01,3.85,10.67,12.38,18097.54
60100,2024-10-01,4.04,10.95,11.24,18216.4
60100,2025-01-01,3.9,11.87,13.04,18006.69
60100,2025-04-01,4.04,12.06,11.77,17299.84
60100,2025-07-01,4.45,11.14,12.76,18092.53
70004,2024-01-01,3.32,7.86,13.0,15801.49
70004,2024-04-01,3.03,8.11,9.98,16021.9
70004,2024-07-01,3.84,8.61,9.99,15091.68
70004,2024-10-01,3.53,8.28,10.11,15378.89
70004,2025-01-01,3.3,8.1,8.56,15403.72
70004,2025-04-01,3.65,8.42,10.1,15414.57
70004,2025-07-01,3.79,8.07,8.76,15479.68
50243,2024-01-01,5.69,5.36,14.82,15314.43
50243,2024-04-01,5.62,5.84,13.08,14887.14
50243,2024-07-01,6.27,5.39,16.59,14995.12
50243,2024-10-01,5.98,4.94,13.48,15147.85
50243,2025-01-01,6.31,5.21,14.87,14275.09
50243,2025-04-01,6.36,6.21,12.86,15461.42
50243,2025-07-01,5.89,5.74,14.63,15387.0
60024,2024-01-01,4.64,6.26,7.69,13507.17
60024,2024-04-01,4.71,6.01,9.49,12873.32
60024,2024-07-01,4.87,6.5,7.7,13355.52
60024,2024-10-01,5.22,6.19,8.91,12628.24
60024,2025-01-01,4.51,5.88,7.73,13875.77
60024,2025-04-01,4.9,6.54,8.52,12634.72
60024,2025-07-01,5.38,7.48,6.96,12736.69
110028,2024-01-01,4.36,11.54,6.14,15359.37
110028,2024-04-01,4.82,11.6,6.61,15244.96
110028,2024-07-01,4.3,11.44,6.97,15630.87
110028,2024-10-01,5.01,12.09,6.23,15192.22
110028,2025-01-01,4.9,11.77,7.89,15672.61
110028,2025-04-01,5.0,11.51,6.44,15593.7
110028,2025-07-01,4.67,12.79,6.33,15560.99
50471,2024-01-01,5.22,5.07,5.14,13502.66
50471,2024-04-01,5.73,5.5,2.91,13500.73
50471,2024-07-01,5.62,5.43,4.39,13465.89
50471,2024-10-01,5.19,5.18,4.45,13672.96
50471,2025-01-01,5.91,5.4,2.41,13308.75
50471,2025-04-01,6.0,5.5,1.61,12942.36
50471,2025-07-01,6.41,5.33,4.12,12873.17
50150,2024-01-01,3.31,8.5,6.01,8676.1
50150,2024-04-01,3.3,9.08,4.82,9450.79
50150,2024-07-01,3.66,8.78,7.28,9705.51
50150,2024-10-01,3.35,9.1,4.8,9648.21
50150,2025-01-01,3.67,8.77,8.0,9685.61
50150,2025-04-01,3.66,8.99,8.82,9163.21
50150,2025-07-01,4.05,9.67,6.91,9324.17
80009,2024-01-01,6.87,6.59,3.43,7791.67
80009,2024-04-01,6.81,7.06,2.16,7497.14
80009,2024-07-01,6.94,6.78,3.11,8014.14
80009,2024-10-01,7.54,7.28,0.89,7151.38
80009,2025-01-01,7.65,7.43,1.19,7411.95
80009,2025-04-01,7.66,7.17,3.15,7787.25
80009,2025-07-01,8.41,6.83,2.66,7830.89
50070,2024-01-01,5.54,10.07,1.55,8482.85
50070,2024-04-01,6.09,9.77,2.4,8802.55
50070,2024-07-01,6.1,9.89,3.58,8496.71
50070,2024-10-01,6.18,10.1,3.9,8459.88
50070,2025-01-01,6.34,10.91,3.65,7947.92
50070,2025-04-01,6.46,10.38,2.78,8105.99
50070,2025-07-01,6.75,10.09,1.55,7542.77
100006,2024-01-01,5.39,11.04,12.71,16026.42
100006,2024-04-01,5.59,10.99,13.42,15843.29
100006,2024-07-01,5.99,11.04,11.55,16841.01
100006,2024-10-01,6.47,12.1,11.06,15491.61
100006,2025-01-01,6.29,10.9,10.57,15802.14
100006,2025-04-01,6.31,11.39,11.43,15767.94
100006,2025-07-01,5.96,11.72,10.2,16476.39
40019,2024-01-01,6.32,8.16,8.68,8785.91
40019,2024-04-01,6.05,8.48,7.48,8628.46
40019,2024-07-01,6.76,8.94,7.82,8383.6
40019,2024-10-01,6.84,8.86,7.03,8218.15
40019,2025-01-01,7.1,9.03,7.33,8532.64
40019,2025-04-01,7.05,8.61,7.23,7643.14
40019,2025-07-01,7.62,9.59,6.61,8274.39
50688,2024-01-01,3.9,8.6,17.0,15681.82
50688,2024-04-01,4.44,8.43,17.68,16492.31
50688,2024-07-01,3.83,8.17,17.88,16452.25
50688,2024-10-01,4.33,8.03,15.26,15932.43
50688,2025-01-01,4.75,8.57,15.77,16182.93
50688,2025-04-01,4.48,8.75,14.57,16032.88
50688,2025-07-01,4.1,8.77,13.85,15871.06
30010,2024-01-01,4.04,7.61,10.28,9475.9
30010,2024-04-01,4.25,7.32,10.19,9705.16
30010,2024-07-01,4.25,7.32,12.21,10322.52
30010,2024-10-01,4.14,7.28,8.22,9738.2
30010,2025-01-01,3.8,7.98,9.51,9537.28
30010,2025-04-01,4.33,7.81,9.58,9280.26
30010,2025-07-01,4.31,7.45,10.12,9113.7
100142,2024-01-01,3.08,11.42,0.68,17673.7
100142,2024-04-01,3.1,11.9,0.0,17117.37
100142,2024-07-01,3.08,12.42,0.0,16924.54
100142,2024-10-01,3.35,11.91,2.15,17677.72
100142,2025-01-01,3.43,12.16,1.34,17297.09
100142,2025-04-01,3.68,12.06,0.08,17350.36
100142,2025-07-01,3.13,11.92,0.19,17178.61
50575,2024-01-01,4.28,11.85,5.42,12198.14
50575,2024-04-01,4.44,11.96,6.04,12187.03
50575,2024-07-01,4.47,13.05,5.74,12257.58
50575,2024-10-01,4.69,12.25,3.35,11302.87
50575,2025-01-01,4.56,11.93,5.2,12414.93
50575,2025-04-01,4.58,12.06,4.66,11218.82
50575,2025-07-01,5.32,12.34,5.0,11396.29
10047,2024-01-01,5.53,9.0,10.19,13127.39
10047,2024-04-01,5.95,8.32,10.0,13019.3
10047,2024-07-01,6.4,8.59,8.97,11713.66
10047,2024-10-01,6.12,8.89,8.44,11920.5
10047,2025-01-01,6.16,8.57,6.83,11670.27
10047,2025-04-01,5.91,8.91,8.39,11917.66
10047,2025-07-01,6.32,9.57,8.18,11750.96
100093,2024-01-01,4.42,6.94,19.36,11031.36
100093,2024-04-01,5.22,6.11,16.14,10619.01
100093,2024-07-01,4.91,6.85,16.04,10236.77
100093,2024-10-01,4.54,7.44,17.95,10846.06
100093,2025-01-01,5.07,6.98,15.0,11204.02
100093,2025-04-01,4.71,7.31,16.09,11293.0
100093,2025-07-01,5.12,7.4,16.0,10633.74
60125,2024-01-01,5.76,7.29,0.88,13540.77
60125,2024-04-01,5.46,7.06,1.97,12844.98
60125,2024-07-01,5.98,7.66,1.44,12228.31
60125,2024-10-01,5.99,7.18,1.67,12253.09
60125,2025-01-01,6.66,7.09,3.24,12895.62
60125,2025-04-01,6.53,7.19,2.25,12301.17
60125,2025-07-01,6.65,7.5,1.34,12402.96
50116,2024-01-01,4.03,7.24,18.6,16476.89
50116,2024-04-01,4.26,6.74,16.03,15839.97
50116,2024-07-01,4.58,7.89,16.9,15811.86
50116,2024-10-01,4.36,6.88,15.16,15201.24
50116,2025-01-01,4.44,7.19,16.76,15214.88
50116,2025-04-01,4.92,7.76,16.51,15615.24
50116,2025-07-01,4.71,8.08,15.91,15594.08
50091,2024-01-01,4.97,10.41,9.78,8853.71
50091,2024-04-01,4.43,11.19,9.21,9461.61
50091,2024-07-01,4.64,11.45,9.65,9232.47
50091,2024-10-01,4.61,11.08,10.11,9097.83
50091,2025-01-01,5.03,12.09,7.94,9147.29
50091,2025-04-01,5.24,11.86,7.76,9028.73
50091,2025-07-01,5.35,10.84,7.85,9184.75
50351,2024-01-01,4.03,10.24,12.26,13169.58
50351,2024-04-01,4.29,10.53,11.59,12154.63
50351,2024-07-01,4.12,9.88,8.77,13225.2
50351,2024-10-01,4.15,9.56,11.52,12752.03
50351,2025-01-01,4.4,10.55,9.95,11715.22
50351,2025-04-01,4.14,10.54,11.13,13328.85
50351,2025-07-01,4.69,10.33,12.9,13316.95
101312,2024-01-01,6.17,9.83,2.11,12496.31
101312,2024-04-01,6.11,9.8,1.77,13129.94
101312,2024-07-01,6.98,9.84,1.81,11873.16
101312,2024-10-01,7.2,9.53,0.48,12334.0
101312,2025-01-01,7.26,10.54,0.99,12678.25
101312,2025-04-01,6.93,10.94,2.44,11900.59
101312,2025-07-01,7.25,10.34,1.76,12953.31
100018,2024-01-01,4.16,9.87,17.66,16558.42
100018,2024-04-01,4.32,9.36,15.62,16921.43
100018,2024-07-01,4.15,10.02,17.24,16962.34
100018,2024-10-01,4.47,10.25,16.8,16406.38
100018,2025-01-01,4.28,10.37,16.93,17055.86
100018,2025-04-01,4.21,10.14,15.53,17121.7
100018,2025-07-01,4.39,10.96,16.75,16408.13
110029,2024-01-01,6.93,6.55,4.24,10490.52
110029,2024-04-01,7.18,6.42,2.66,10164.02
110029,2024-07-01,7.11,6.31,3.57,10003.33
110029,2024-10-01,8.19,5.57,4.37,10204.17
110029,2025-01-01,7.76,7.16,2.43,9792.02
110029,2025-04-01,7.66,6.61,3.27,10294.26
110029,2025-07-01,8.05,6.72,1.92,10146.3
60014,2024-01-01,4.62,11.24,8.47,16495.42
60014,2024-04-01,4.73,10.97,7.28,16412.65
60014,2024-07-01,4.92,11.59,5.65,16761.17
60014,2024-10-01,4.73,11.45,6.81,16677.29
60014,2025-01-01,4.77,11.31,6.38,16934.38
60014,2025-04-01,5.06,11.5,6.6,16293.11
60014,2025-07-01,4.78,12.15,7.81,17305.84
30036,2024-01-01,3.69,5.82,15.03,11614.82
30036,2024-04-01,3.84,5.19,13.75,11294.65
30036,2024-07-01,4.03,5.09,12.72,11552.81
30036,2024-10-01,3.95,5.95,14.34,12257.11
30036,2025-01-01,4.33,5.37,14.08,11117.03
30036,2025-04-01,4.04,5.15,13.82,11439.92
30036,2025-07-01,3.92,5.91,15.06,12344.85
100106,2024-01-01,5.98,8.76,14.82,9935.41
100106,2024-04-01,6.46,8.56,14.78,10898.11
100106,2024-07-01,6.5,8.34,15.71,10222.55
100106,2024-10-01,7.05,9.19,15.63,9586.81
100106,2025-01-01,7.09,8.8,13.92,10539.29
100106,2025-04-01,7.45,8.97,15.82,9968.04
100106,2025-07-01,6.94,9.01,14.55,9948.02
100070,2024-01-01,5.74,9.34,11.99,12328.19
100070,2024-04-01,6.13,9.38,10.92,12642.73
100070,2024-07-01,5.71,8.9,13.0,12247.11
100070,2024-10-01,5.67,8.78,14.62,12301.81
100070,2025-01-01,5.7,9.78,11.66,11918.78
100070,2025-04-01,5.41,9.53,11.66,12619.13
100070,2025-07-01,6.11,9.37,10.73,12153.72
70022,2024-01-01,5.27,11.55,6.92,10611.0
70022,2024-04-01,5.07,10.75,8.01,10683.68
70022,2024-07-01,6.18,11.68,6.9,9534.79
70022,2024-10-01,6.29,11.13,8.86,9301.28
70022,2025-01-01,5.97,11.53,7.44,9667.28
70022,2025-04-01,6.13,12.04,8.84,10172.16
70022,2025-07-01,5.8,12.42,8.65,10569.72
50352,2024-01-01,5.26,10.95,14.58,18524.48
50352,2024-04-01,4.98,10.88,12.88,17898.46
50352,2024-07-01,5.82,11.03,12.5,17588.94
50352,2024-10-01,6.25,11.16,10.0,17910.59
50352,2025-01-01,6.1,11.2,12.56,17535.2
50352,2025-04-01,6.14,11.32,11.99,17319.94
50352,2025-07-01,5.83,12.66,9.65,17397.3
100275,2024-01-01,4.08,8.05,10.39,14940.87
100275,2024-04-01,4.35,8.55,10.75,15143.52
100275,2024-07-01,4.63,8.39,10.81,14402.73
100275,2024-10-01,4.58,8.46,10.04,14355.39
100275,2025-01-01,4.11,8.88,9.06,14759.69
100275,2025-04-01,4.7,9.04,8.88,14938.73
100275,2025-07-01,4.45,8.81,9.8,14507.38
110132,2024-01-01,5.75,10.37,15.38,14247.88
110132,2024-04-01,5.68,10.84,13.7,13700.64
110132,2024-07-01,5.63,10.98,14.27,13550.22
110132,2024-10-01,5.64,12.1,13.7,13458.66
110132,2025-01-01,6.25,10.75,11.73,13399.83
110132,2025-04-01,6.27,12.03,11.55,11859.25
110132,2025-07-01,6.53,11.85,12.73,13339.89
50076,2024-01-01,5.07,11.17,10.24,11784.2
50076,2024-04-01,5.61,11.23,9.85,12970.04
50076,2024-07-01,5.43,11.01,13.28,12993.51
50076,2024-10-01,5.72,11.63,10.48,12541.25
50076,2025-01-01,6.09,11.85,10.88,11487.17
50076,2025-04-01,5.74,11.82,10.97,12205.08
50076,2025-07-01,6.39,11.74,13.33,12508.73
50342,2024-01-01,3.82,7.92,7.99,11884.26
50342,2024-04-01,4.83,8.02,6.8,10895.15
50342,2024-07-01,4.74,7.07,8.28,11480.98
50342,2024-10-01,4.39,8.17,6.69,11093.01
50342,2025-01-01,4.48,8.34,5.38,11492.58
50342,2025-04-01,4.84,8.53,5.93,11474.98
50342,2025-07-01,4.21,7.88,7.0,12285.19
50056,2024-01-01,3.43,5.27,3.25,16066.05
50056,2024-04-01,3.43,5.15,2.16,16361.53
50056,2024-07-01,4.06,5.48,2.81,15624.97
50056,2024-10-01,3.76,5.32,1.69,15548.6
50056,2025-01-01,3.88,4.94,3.36,16093.21
50056,2025-04-01,3.58,5.25,3.17,16535.95
50056,2025-07-01,3.63,5.5,0.77,15824.34
50254,2024-01-01,5.9,6.64,2.85,8862.09
50254,2024-04-01,6.12,7.12,2.39,8984.27
50254,2024-07-01,6.48,7.18,1.36,8817.91
50254,2024-10-01,6.95,6.11,3.38,8916.99
50254,2025-01-01,6.69,6.93,1.32,9336.05
50254,2025-04-01,6.8,7.14,1.65,8933.59
50254,2025-07-01,7.06,7.3,2.41,8837.84
30130,2024-01-01,4.12,9.99,6.73,12202.31
30130,2024-04-01,4.4,9.88,5.38,12020.09
30130,2024-07-01,4.59,9.8,5.02,13108.28
30130,2024-10-01,4.57,9.58,6.89,12863.51
30130,2025-01-01,4.36,10.29,6.42,13059.41
30130,2025-04-01,4.69,9.94,7.82,12488.49
30130,2025-07-01,4.6,9.91,6.67,12058.8
100176,2024-01-01,3.91,10.28,7.24,14584.68
100176,2024-04-01,3.89,10.53,7.22,14793.49
100176,2024-07-01,4.11,10.55,6.34,15090.31
100176,2024-10-01,3.77,10.78,5.58,14394.49
100176,2025-01-01,4.23,11.14,6.41,15246.53
100176,2025-04-01,4.17,10.13,6.9,14644.16
100176,2025-07-01,3.79,11.85,6.06,14615.73
40055,2024-01-01,6.22,4.76,10.86,14583.44
40055,2024-04-01,6.45,5.16,9.14,14563.09
40055,2024-07-01,6.88,5.32,9.21,13453.19
40055,2024-10-01,6.74,5.14,6.21,14092.6
40055,2025-01-01,6.81,5.77,8.77,14278.11
40055,2025-04-01,7.01,5.26,8.31,13614.38
40055,2025-07-01,7.31,5.57,9.03,14348.71
110082,2024-01-01,4.77,7.57,6.07,14716.72
110082,2024-04-01,3.72,7.64,7.84,15686.23
110082,2024-07-01,4.18,8.33,7.49,15449.95
110082,2024-10-01,4.38,8.19,6.8,15379.91
110082,2025-01-01,4.88,8.34,5.84,14521.75
110082,2025-04-01,5.09,8.38,6.67,14910.09
110082,2025-07-01,5.07,8.43,9.0,14954.78
61303,2024-01-01,5.22,6.63,12.84,12345.67
61303,2024-04-01,4.99,6.69,11.15,12226.13
61303,2024-07-01,4.98,6.88,12.58,13392.65
61303,2024-10-01,5.42,6.91,10.75,12008.69
61303,2025-01-01,5.35,7.01,9.95,12672.02
61303,2025-04-01,5.68,6.7,9.92,12535.95
61303,2025-07-01,5.08,6.65,11.3,12682.42
60032,2024-01-01,6.95,10.22,18.71,16564.65
60032,2024-04-01,6.74,10.3,15.97,16897.22
60032,2024-07-01,7.11,10.15,16.92,16368.24
60032,2024-10-01,6.9,10.29,15.37,17069.05
60032,2025-01-01,7.25,10.22,16.96,16081.77
60032,2025-04-01,7.42,10.19,15.39,16439.55
60032,2025-07-01,7.7,10.47,13.28,16182.01
50102,2024-01-01,5.1,5.04,3.67,9405.37
50102,2024-04-01,4.97,5.34,3.93,9103.8
50102,2024-07-01,5.12,5.65,3.95,8311.68
50102,2024-10-01,5.65,5.24,3.88,8815.05
50102,2025-01-01,5.85,5.55,3.22,7286.32
50102,2025-04-01,5.84,6.08,1.89,8571.53
50102,2025-07-01,5.51,6.03,3.23,7782.65
50315,2024-01-01,3.97,6.54,5.04,12664.55
50315,2024-04-01,3.54,6.61,4.04,12749.48
50315,2024-07-01,3.63,6.49,5.74,11984.95
50315,2024-10-01,4.2,6.87,5.98,12867.37
50315,2025-01-01,3.82,6.88,4.61,12460.78
50315,2025-04-01,3.63,6.87,2.36,12068.83
50315,2025-07-01,4.09,7.27,3.83,13006.1
100035,2024-01-01,5.5,5.35,5.39,9545.03
100035,2024-04-01,5.65,5.21,3.7,9274.05
100035,2024-07-01,5.7,5.41,4.13,8527.8
100035,2024-10-01,5.72,5.42,5.48,9661.9
100035,2025-01-01,5.73,5.61,4.2,8613.51
100035,2025-04-01,6.4,5.93,6.47,9761.58
100035,2025-07-01,6.46,5.16,2.53,8766.09
100030,2024-01-01,6.12,9.74,7.03,17285.21
100030,2024-04-01,6.58,10.33,7.64,15846.5
100030,2024-07-01,7.06,9.52,7.08,15736.67
100030,2024-10-01,6.43,9.48,6.38,17113.63
100030,2025-01-01,7.11,10.39,5.74,15770.19
100030,2025-04-01,6.99,10.35,8.38,15880.48
100030,2025-07-01,7.08,10.01,5.95,15941.03
10128,2024-01-01,6.0,7.21,16.49,17460.86
10128,2024-04-01,6.6,7.81,17.21,17699.21
10128,2024-07-01,6.11,8.75,16.98,17501.15
10128,2024-10-01,6.15,7.63,14.77,17185.77
10128,2025-01-01,6.47,7.83,13.82,17144.15
10128,2025-04-01,6.22,7.55,14.24,17008.76
10128,2025-07-01,6.49,7.89,13.03,16445.93
50755,2024-01-01,3.14,10.72,16.05,12385.43
50755,2024-04-01,3.49,10.55,15.72,12696.73
50755,2024-07-01,3.72,11.31,13.79,12664.17
50755,2024-10-01,3.15,11.5,13.79,12199.46
50755,2025-01-01,4.32,11.77,15.74,12012.93
50755,2025-04-01,3.92,11.63,13.47,12476.9
50755,2025-07-01,3.82,11.18,13.77,11759.71
10130,2024-01-01,3.78,10.8,9.93,17812.76
10130,2024-04-01,3.0,10.3,6.69,16841.76
10130,2024-07-01,2.95,10.94,9.67,17784.61
10130,2024-10-01,3.34,11.01,6.13,17482.88
10130,2025-01-01,3.54,10.25,8.41,17221.15
10130,2025-04-01,3.69,10.97,9.55,18115.55
10130,2025-07-01,3.74,11.1,6.9,17583.71
50541,2024-01-01,5.82,11.31,2.02,15123.09
50541,2024-04-01,6.06,11.79,2.75,15203.86
50541,2024-07-01,6.06,11.25,1.55,15285.63
50541,2024-10-01,5.76,11.11,2.95,15285.61
50541,2025-01-01,6.39,12.08,1.73,15273.16
50541,2025-04-01,6.33,12.22,0.84,14761.71
50541,2025-07-01,6.15,11.88,3.28,15390.17
10049,2024-01-01,5.62,9.66,10.06,11111.13
10049,2024-04-01,6.08,9.38,8.99,11356.65
10049,2024-07-01,5.99,9.11,11.43,12086.4
10049,2024-10-01,5.65,9.78,10.75,10957.27
10049,2025-01-01,6.33,10.07,9.07,11059.27
10049,2025-04-01,6.15,10.22,8.48,10345.24
10049,2025-07-01,6.4,10.21,8.88,10871.89
100266,2024-01-01,4.0,8.64,4.34,14593.93
100266,2024-04-01,4.43,8.01,4.29,13383.44
100266,2024-07-01,4.42,8.92,3.1,13706.56
100266,2024-10-01,4.69,8.57,4.44,13730.84
100266,2025-01-01,4.66,8.92,2.67,14050.01
100266,2025-04-01,4.87,8.95,4.1,13702.33
100266,2025-07-01,4.88,8.87,4.9,13984.9
50557,2024-01-01,4.88,9.65,10.54,13578.66
50557,2024-04-01,5.14,9.58,9.78,13317.98
50557,2024-07-01,5.44,10.29,10.36,12629.61
50557,2024-10-01,5.37,9.18,11.5,12862.57
50557,2025-01-01,5.37,10.18,12.16,13124.21
50557,2025-04-01,5.1,9.68,9.24,12780.52
50557,2025-07-01,5.23,10.28,8.46,12798.4
110032,2024-01-01,3.57,10.49,13.63,13963.02
110032,2024-04-01,3.1,10.7,12.52,14398.19
110032,2024-07-01,3.0,10.15,12.31,14177.63
110032,2024-10-01,3.31,10.78,11.52,14434.77
110032,2025-01-01,3.07,9.67,13.35,14732.49
110032,2025-04-01,3.56,10.86,13.2,14028.47
110032,2025-07-01,3.25,10.81,13.68,14334.35
31314,2024-01-01,6.1,6.56,16.26,14647.93
31314,2024-04-01,5.63,6.55,15.49,15617.0
31314,2024-07-01,6.2,6.61,14.14,15430.76
31314,2024-10-01,6.24,7.51,13.83,15362.24
31314,2025-01-01,6.16,7.05,11.51,15026.66
31314,2025-04-01,6.46,7.18,15.04,15372.44
31314,2025-07-01,6.48,6.96,12.5,14620.6
110046,2024-01-01,3.25,6.43,1.5,12865.47
110046,2024-04-01,3.32,6.22,5.15,12794.99
110046,2024-07-01,3.79,6.14,5.02,13167.9
110046,2024-10-01,4.34,6.85,2.25,12324.24
110046,2025-01-01,3.76,6.58,5.08,13281.14
110046,2025-04-01,4.15,6.63,2.97,12807.46
110046,2025-07-01,3.83,7.2,3.3,13466.93
110031,2024-01-01,4.97,8.99,10.94,9664.2
110031,2024-04-01,5.12,8.48,10.47,10270.48
110031,2024-07-01,5.95,8.98,13.3,9979.68
110031,2024-10-01,5.62,9.59,9.62,9760.28
110031,2025-01-01,6.03,8.84,10.35,10298.24
110031,2025-04-01,6.31,8.92,9.08,10422.19
110031,2025-07-01,6.5,9.41,11.88,9516.14
100072,2024-01-01,6.01,8.61,9.01,9287.71
100072,2024-04-01,5.8,8.07,8.19,9009.1
100072,2024-07-01,6.0,8.36,8.61,8975.34
100072,2024-10-01,5.92,7.71,8.11,8459.23
100072,2025-01-01,6.0,7.66,10.31,8995.89
100072,2025-04-01,6.31,9.06,6.73,8619.13
100072,2025-07-01,6.92,8.45,8.54,8733.4
10078,2024-01-01,5.66,8.67,0.74,14262.86
10078,2024-04-01,5.25,7.77,0.29,15085.44
10078,2024-07-01,5.82,7.9,2.11,15326.19
10078,2024-10-01,6.23,8.12,2.4,15113.01
10078,2025-01-01,6.22,8.28,1.17,14806.66
10078,2025-04-01,5.43,8.16,1.24,15577.98
10078,2025-07-01,6.19,8.24,0.84,14440.06
80007,2024-01-01,5.5,9.56,17.71,15503.97
80007,2024-04-01,5.8,10.57,19.45,15200.56
80007,2024-07-01,5.45,9.98,17.35,15454.0
80007,2024-10-01,5.62,11.12,16.25,14636.74
80007,2025-01-01,6.26,10.83,16.63,14313.02
80007,2025-04-01,5.61,10.64,16.73,15535.41
80007,2025-07-01,6.26,10.34,16.69,15140.58
50724,2024-01-01,3.21,5.45,7.13,12261.69
50724,2024-04-01,3.52,6.06,8.47,12232.24
50724,2024-07-01,3.74,4.66,6.61,12219.67
50724,2024-10-01,2.87,5.37,8.26,11785.96
50724,2025-01-01,3.74,5.17,6.17,12018.94
50724,2025-04-01,3.28,5.6,5.95,12884.5
50724,2025-07-01,3.67,5.43,7.75,13092.02
50382,2024-01-01,4.66,6.19,14.61,15898.34
50382,2024-04-01,4.58,6.98,16.89,15778.73
50382,2024-07-01,5.21,6.63,15.2,15527.8
50382,2024-10-01,4.79,6.77,14.02,15665.7
50382,2025-01-01,4.8,7.16,14.75,15709.68
50382,2025-04-01,4.76,6.48,12.32,15349.66
50382,2025-07-01,5.31,7.13,12.05,14752.22
60076,2024-01-01,3.94,7.16,15.88,17692.69
60076,2024-04-01,4.11,7.72,17.51,18006.01
60076,2024-07-01,4.11,8.38,15.99,17477.13
60076,2024-10-01,3.61,7.06,14.95,17404.75
60076,2025-01-01,4.24,7.95,16.36,17276.67
60076,2025-04-01,3.7,8.32,15.3,17331.82
60076,2025-07-01,4.46,7.64,14.84,17018.97
110142,2024-01-01,6.35,10.43,6.15,15529.89
110142,2024-04-01,6.35,9.51,6.6,16295.97
110142,2024-07-01,6.28,9.4,6.18,16406.8
110142,2024-10-01,6.34,8.96,8.57,15985.61
110142,2025-01-01,6.72,9.36,8.69,16767.44
110142,2025-04-01,6.22,9.85,6.0,16158.71
110142,2025-07-01,7.32,9.6,5.49,16388.54
10023,2024-01-01,6.32,6.42,3.9,15303.52
10023,2024-04-01,6.92,6.33,3.92,14610.34
10023,2024-07-01,7.29,6.64,1.89,14815.13
10023,2024-10-01,7.11,6.64,4.28,15149.65
10023,2025-01-01,6.94,6.05,4.95,15077.8
10023,2025-04-01,7.83,6.74,4.08,14691.12
10023,2025-07-01,7.74,5.75,4.9,14794.92
50603,2024-01-01,5.2,4.33,5.72,12053.55
50603,2024-04-01,5.29,4.85,7.59,11410.06
50603,2024-07-01,4.9,5.09,5.71,12102.25
50603,2024-10-01,5.24,5.58,5.64,11658.05
50603,2025-01-01,5.57,5.47,7.76,11846.32
50603,2025-04-01,5.14,5.84,5.99,10984.15
50603,2025-07-01,5.82,5.09,5.93,11165.67
110018,2024-01-01,4.03,10.56,4.09,14257.18
110018,2024-04-01,3.83,10.61,5.61,14281.73
110018,2024-07-01,4.33,10.54,3.6,14155.57
110018,2024-10-01,3.73,10.74,2.94,14057.17
110018,2025-01-01,3.65,10.89,3.65,14823.59
110018,2025-04-01,3.97,10.44,3.83,14231.86
110018,2025-07-01,4.24,11.59,4.17,13766.01
50625,2024-01-01,5.75,5.77,13.75,13334.16
50625,2024-04-01,5.42,6.3,11.9,13217.27
50625,2024-07-01,6.03,6.23,12.55,12745.22
50625,2024-10-01,5.3,6.35,12.75,13210.22
50625,2025-01-01,5.77,6.79,12.7,13057.54
50625,2025-04-01,6.86,6.22,11.3,12799.38
50625,2025-07-01,6.18,6.48,11.66,12571.38
100029,2024-01-01,4.88,5.89,5.9,15809.57
100029,2024-04-01,4.29,6.42,6.56,16215.46
100029,2024-07-01,5.52,7.07,6.21,16445.34
100029,2024-10-01,4.34,6.59,7.06,16306.9
100029,2025-01-01,4.82,6.53,4.87,16431.14
100029,2025-04-01,5.63,6.72,6.47,15809.4
100029,2025-07-01,5.44,7.45,6.4,15339.32
50235,2024-01-01,5.75,8.4,15.3,10018.7
50235,2024-04-01,6.05,8.4,17.78,10851.31
50235,2024-07-01,5.9,9.03,15.06,10607.85
50235,2024-10-01,5.91,8.79,15.57,11138.98
50235,2025-01-01,6.37,8.92,16.75,10579.61
50235,2025-04-01,6.5,8.84,15.51,11441.69
50235,2025-07-01,6.73,8.86,16.02,10759.84
60064,2024-01-01,3.2,5.16,10.11,16922.81
60064,2024-04-01,3.62,5.15,13.85,16982.05
60064,2024-07-01,3.0,5.06,12.85,17163.65
60064,2024-10-01,3.55,5.38,11.66,16855.31
60064,2025-01-01,3.39,5.49,10.52,17051.18
60064,2025-04-01,3.64,5.35,9.66,16761.69
60064,2025-07-01,3.76,5.71,10.64,16126.06
50663,2024-01-01,4.12,8.75,12.95,11148.43
50663,2024-04-01,4.24,8.76,12.16,10461.73
50663,2024-07-01,3.61,8.74,11.95,10953.79
50663,2024-10-01,4.01,9.79,10.48,10261.13
50663,2025-01-01,4.1,9.44,11.99,11286.26
50663,2025-04-01,4.16,9.92,8.34,10476.75
50663,2025-07-01,4.84,8.86,10.45,9922.27
110003,2024-01-01,4.91,8.58,6.51,16384.25
